## Test_Name
Water in Blue[X]

## IronSword_Name
## IncenseSoul_Desc
A temperament-berserking staff.[X]

## Ingression_Desc
A famed ally-warping staff.[X]

## Egression_Desc
A famed ally-rescuing staff.[X]

## DivineTruth_Desc
Alexigant's ornamental staff.[X]

## DivineTruth_UseDesc
Grant ally +3 to Str,[N]
Int, Spd, Def, and Res.[X]

## DivineTruthSubtitleText
Select ally to grant clarity of Truth.[X]

## Acceleration_Desc
A speed-enhancing staff.[X]

## Acceleration_UseDesc
Ally receives +4[N]
to their Spd.[X]

## AccelerationSubtitleText
Select ally to accelerate.[X]

## Manafication_Desc
An intelligence-enhancing staff.[X]

## Manafication_UseDesc
Ally receives +4[N]
to their Int.[X]

## ManaficationSubtitleText
Select ally to manaficate.[X]

## Invigoration_Desc
A strength-enhancing staff.[X]

## Invigoration_UseDesc
Ally receives +4[N]
to their Str.[X]

## InvigorationSubtitleText
Select ally to invigorate.[X]

## Amelioration_Desc
A build-enhancing staff.[X]

## Amelioration_UseDesc
Ally receives +4[N]
to their Bld.[X]

## AmeliorationSubtitleText
Select ally to ameliorate.[X]

## Traipsation_Desc
A movement-enhancing staff.[X]

## Traipsation_UseDesc
Ally receives +4[N]
to their Mov.[X]

## TraipsationSubtitleText
Select ally to traipsate.[X]

## Exhilaration_Desc
An action-refreshing staff.[X]

## Exhilaration_UseDesc
Ally can take[N]
another action.[X]

## ExhilarationSubtitleText
Select ally to exhilarate.[X]

## Debilitation_Desc
A debuff-inducing staff.[X]

## Debilitation_UseDesc
Enemy receives -2[N]
to all stats.[X]

## Trismegistos_Desc
Eunonina's winds of commerce.[X]

## FireInRed_Desc
Jeanaire's polychromatic spell.[X]

## Pictomancer_Name
Pictomancer[X]

## SD_HeavyItem
Heavy: Cannot double in combat.[X]

## SD_BraveItem
Brave: Doubles all wielder's strikes.[X]

## SD_KillerItem
Killer: Doubles wielder's base crit.[X]

## SD_MagicItem
Runic: Uses Str + (Int/2), targets Res.[X]

## SD_PhysicalTome
Runic: Uses Int + (Str/2), targets Def.[X]

## SD_DivineTruth
Divine Truth: Buffs ally's Str, Int,[N]
Spd, Def, and Res by item's Pt[N]
until the next player phase.[X]

## SD_Amelioration
Amelioration: Buffs ally's Bld[N]
by item's Pt until the next[N]
player phase.[X]

## SD_Acceleration
Amelioration: Buffs ally's Spd[N]
by item's Pt until the next[N]
player phase.[X]

## SD_Manafication
Manafication: Buffs ally's Int[N]
by item's Pt until the next[N]
player phase.[X]

## SD_Invigoration
Invigoration: Buffs ally's Str[N]
by item's Pt until the next[N]
player phase.[X]

## SD_Traipsation
Traipsation: Buffs ally's Mov[N]
by item's Pt until the next[N]
player phase.[X]

## SD_Debilitation
Debilitation: Debuffs foe's Str, Int[N]
Spd, Def, and Res by item's Pt[N]
until the next player phase.[X]

## SD_Curative
Curative: Heals an ally[N]
for Pt + (Int/2) HP.[X]

## SD_Dispelling
Dispelling: Clears all[N]
of an ally's debuffs.[X]
